ID;Type ;Short name;Quote;Reference;Rel. type (n, p, i, r, ...);Comment (e.g., identified gaps & inconsistencies);Incl. (Y/N)?
;- Phenomenon ;;;;;;
;- Concept;;;;;;
;- HOC;;;;;;
CT ;C;Co-Targets;-“The more people who are the target;Latané et al., S.823 (1979);n1, p1,p2, n12;;Y
;;;of this pressure, [...]” (S.823);;;;
;;;;AND ;;;
;;;- “According to Latane's (1981) social impact theory, people can be viewed as […] targets of social impact.”  (S. 682);Karau & Williams, S. 682 (1993);;;
;;;;;;;
;;;AND;;;;
;;;;;;;
;;;- “and number of group members” (Latané et al., 1979, S. 823) ;;;;
;;;;;;;
;;;- “impact is divided among the group members” (Latané et al., 1979, S. 830);;;;
;;;;;;;
;;;- “However, if a person is a member of a group that is the target of social forces from outside the group” (Latané et al., 1979, S. 823);;;;
S;C;Source of pressure;- “The impact that the experimenters have on an individual [...]” (S.825) ;Latané et al., S.825 (1979);n2, p2;these persons are not described as a pressure precisely, but we can assume that they are the reason why the pressure occurs;Y
;;;;;;;
;;;;AND;;we set: ;
;;;- “According to Latane's (1981) social impact theory, people can be viewed as either sources […] of social impact.” (S. 682);;;pressure = impact ;
;;;;Karau & Williams, S. 682 (1993);;;
CON;C;Contingency between input and outcome;“[...] the contingency between their input and the outcome [...]” (S. 830);Latané et al., S. 830 (1979);p1, n3, t1;here, contingency is simply explained through the word itself, no further definition;Y
INC;C;Incentive ;“[...] incentive to work equally hard in groups of different sizes.” (S.830);Latané et al., S. 830 (1979);t1, n4, p3;;Y
P;C;impact/;“the amount of social pressure on the target person” (S. 823) ;Latané et al., S.823 (1979);p2, n5, n6, p3;impact and pressure are no really distinctive concepts, cause impact can officiate as a social facilitation. here, we assume its the same cause we limited the scope to the negative form of social impact, no facilitation at all;Y
;;pressure;;;;;
;;;“pressures on each individual” (S. 830);;;;
;;;;;;;
;;;/;;;;
;;;;;;;
;;;“In a group performance situation in which pressures to work come from outside the group” (S. 830);;;;
;;;;;;;
;;;AND;;;;
;;;;;;;
;;;“[...]the impact of these forces on any given member [...]” (S.823);;;;
IE;C;individual effort;“individual effort” (S. 822 ff.);Latané et al., S.822 ff. (1979);p3, n7, t2;In this paper, there is no real distinction between “effort” and “performance”. These concepts were used partially synonymously. The problem is, they were not defined. ;Y
Psy ;HOC ;Psyche;no citation;/;n11;We defined this HOC as the space in which the mental process is defined;Y
IO;C;individual output;“in this case n times the average individual output” (S. 825);Latané et al., S.825/S.829/S.830  (1979);n13, n14, n15, t2;;
;;;;;;;
;;;AND ;;;;
;;;;;;;
;;;“Since individual scores” (S. 830);;;;
;;;;;;;
;;;AND ;;;;
;;;;;;;
;;;- “leading to an apparent drop in individual performance, a phenomenon we call social loafing” (S. 825);;;;
;;;- “sum of their individual performances” (S. 829);;;;
MC;C;maximal capacity;“dyads pulled at 91% of the sum of their individual capacities, trios at 82%, and groups of six at only 78%” (S. 825);Latané et al., S.825  (1979);n16, t2;maximal capacity of individual, when 100 sources and 0 cotargets are present;Y
;;;;;;;
;;;;;;(no citations are available, this is our own interpretation to simulate the phenomenon) ;
;;;;;;;
ME;HOC;Matching of effort;“this effort matching interpretation” ;Harkins & Jackson, S.1200/1204 (1985);/;this effect occurs only when the scope is limited to holding identifiability constant throughout the experiment;N
;;;(S.1204);;;;
;;;;AND ;;;
;;;“they will maintain equity by matching the effort levels they expect from their partners”;;;;
;;;(S.1200);Karau & Williams, S. 683 (1993);;;
;;;;;;;
;;;“social loafing occurs because individ uals expect others to slack off in groups and, therefore, reduce their own efforts to maintain equity” (S.683);;;;
EMC;C ;Effort condition;"“In the HE condition, she said she had tried very hard on the practice trial and, because she thought the research was interesting, she was going to try hard throughout the experiment; in the LE condition, she said she had not tried on the practice shout and, because she thought the research was boring, she wasn't going to try hard during the rest of the experiment; and in the SLR condition, she simply made small talk until the experimenter returned”";Harkins & Jackson, S.1202 (1985);n17, t3;this is  purely a condition construct, no explicit values were give in Harkins & Jackson (1985), manifest variable outside the Psy-Box;Y
;;;(S.1202);;;;
LE ;C ;loafing expectation;“expectations of the amount of partner effort” (S.1204) ;Harkings & Jackson, S.1204 (1985);n18, t3, p3;no values were given here either, but this is strictly a latent variable - we transform it from the effort matching condition to have a construct that matches the condition in the Psy-Box ;Y 
;;;;;;;
;;;AND ;;;;
;;;;;;;
;;;“expectations concerning the partner’s intended levels of effort”;;;;
SL;P;Social loafing;“people exhibit a sizeable decrease in individual effort when performing in groups as compared to when they perform alone”;Latané et al., S.822 (1979);i1;this is the core phenomenon for the report;
