Construct;Source (if given);Scale level;Range/Values;Anchors
CT;“and number of group members” (Latané et al., 1979, S. 823) ;discrete;? ?0;"0 = “zero cotargets are present”; "
;;;;n = “number of cotargets (other persons in the evaluated group, number of group members minus 1)”
S;“number of these other persons.” (Latané et al., 1979, S. 823);discrete;? ?0;"“0 = “zero persons that cause the social pressure”; "
;;;;n = “number of persons that cause the pressure”
;AND;;;
;;;;
;“Thus, as the number of performers decreased, the size of the audience increased. According to Cottrell's evaluation apprehension hypothesis (1972), the presence of an evaluative audience should enhance performance for a simple, well learned task such as rope pulling, and, although there is little supportive evidence, it seems reasonable that the larger the audience, the greater the enhancement“ (Latané et al., 1979, S. 826);;;
P;;continuous;"? [0; 1[";0 = “zero persons are source of social pressure”, “no social pressure”
;;;;1 = “maximal social pressure (a theoretical amount on infinite spectators are present)” 
CON;"“Individuals could ""hide in the crowd"" (Davis, 1969) and avoid the negative consequences of slacking off, or they may have felt ""lost in the crowd"" and unable to obtain their fair share of the positive consequences for working hard.” (Latané et. al, 1979, S. 830)";continuous;"? [0; 1]";0 = “expectation that the share (reward/punishment) of each member is completely independent of what they’ve given” 
;“reward” (Latané et. al, 1979, S. 830);;;1 = “expectation that their share (reward/punishment) is equal to what they’ve  given”
INC;;continuous;"? [0; 1]";"0 = “no incentive to give any individual effort” ;"
;;;;1 = “incentive to give full effort” 
IE;e. g. “dyads pulled at 91% of the sum of their individual capacities, trios at 82%, and groups of six at only 78%” (Latané, 1979, S. 825);continuous;"? [0; 1]";0 = “the person shows no effort at all to bring in some contribution to the group task”, 1 = “the person shows their maximal effort in contributing to the group task” 
O;"“sum of their individual capacity” (Latané, 1979, S. 824);";continuous;"? [0; 1]";"0 = “maximal social loafing effect, nobody does anything”; "
;e. g. “dyads pulled at 91% of the sum of their individual capacities, trios at 82%, and groups of six at only 78%” (Latané, 1979, S. 825);;;1 = “sum of the maximal  individual performances”
;;;;“no social loafing effect”
;;;;“everybody gives their best”
;;;;
;;;;o = “percentage of the theoretical maximal outcome (sum of each individual capacity) of the whole group”
IO;“dyads pulled at 91% of the sum of their individual capacities, trios at 82%, and groups of six at only 78%” (Latané, 1979, S. 825);continuous;"? [0; inf[";0 = dynes/cm^2
;;;;n = dynes/cm^2
MC;;continuous;? ?0;depends on task (clapping with hands, rope pulling)
EMC ;“she said she had tried very hard on the practice trial and, because she thought the research was interesting, she was going to try hard throughout the experiment” (Jackson & Harkins, 1985, S.1202);ordinal;1, 2 or 3 is possible;1 = low effort condition, 
;AND ;;;2 = Social loafing replication condition, 
;“she said she had not tried on the practice shout and,  because she thought the research was boring, she wasn’t going to try hard during the rest of the experiment”;;;3 = high effort condition
;(Jackson & Harkins, 1985, S.1202) ;;;
;AND ;;;
;“she simply made small talk until the experimenter returned” (Jackson & Harkins, 1985, S.1202);;;
LE;view “EMC” for citations, they’re identical;ordinal;“match_low”, “no_info”, “match_high”;“match_low” = the subject thinks the Co-Targets were giving their full effort in the practice trial, 
;;;;“no_info” = the subjects has no information whatsoever about the others goal in effort, 
;;;;“match_high” = the subject thinks the Co-Targets had not tried hard in the practice trial
